Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"W Chang, T Zhu, H Xu, W Liu, W Zhou","Class machine unlearning for complex data via concepts inference and data poisoning",2024,"arXiv preprint arXiv:2405.15662","arxiv.org","https://arxiv.org/abs/2405.15662","https://scholar.google.com/scholar?cites=13642767603466832584&as_sdt=2005&sciodt=2007&hl=en",182,"2026-01-28 13:54:56","","","",,,,,,10,5.00,2,5,2,"… data, to … data, we adopt a Post-hoc Concept Bottleneck Model, and Integrated Gradients to precisely identify concepts across different classes. Next, we take advantage of data poisoning …","https://arxiv.org/pdf/2405.15662","https://scholar.google.com/scholar?q=related:yArZVdrYVL0J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
5,"X Wang, F Wang, Y Hong, XJ Ban","Transferability in data poisoning attacks on spatiotemporal traffic forecasting models",2026,"Transportation Research Part C …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0968090X25005054","https://scholar.google.com/scholar?cites=5634928547398872799&as_sdt=2005&sciodt=2007&hl=en",183,"2026-01-28 13:54:56","","","",,,,,,5,5.00,1,4,1,"… to adversarial perturbations within training data, where specially crafted … -box poisoning attack framework to demonstrate the transferability of adversarial perturbations in data poisoning …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4827065","https://scholar.google.com/scholar?q=related:3-5qoqhJM04J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
40,"R Zhang, Q Zhu","A game-theoretic defense against data poisoning attacks in distributed support vector machines",2017,"2017 IEEE 56th Annual Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8264336/","https://scholar.google.com/scholar?cites=11054465624338544048&as_sdt=2005&sciodt=2007&hl=en",184,"2026-01-28 13:54:56","","","",,,,,,40,4.44,20,2,9,"… In this section, we present the game-theoretic framework of a DSVM learner and an attacker who takes over a set of nodes and conducts data poisoning attacks with the aim of breaking …","","https://scholar.google.com/scholar?q=related:sDV3kOpZaZkJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
29,"S Wang, Q Li, Z Cui, J Hou, C Huang","Bandit-based data poisoning attack against federated learning for autonomous driving models",2023,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417423007972","https://scholar.google.com/scholar?cites=15424383217782251233&as_sdt=2005&sciodt=2007&hl=en",185,"2026-01-28 13:54:56","","","",,,,,,29,9.67,6,5,3,"… baseline poisoning attacks and the robustness under defense schemas, the proposed poisoning attack strategy can achieve superior attack performance via continuous data poisoning …","","https://scholar.google.com/scholar?q=related:4V5oj9BqDtYJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
9,"Y Wu, J McMahan, X Zhu, Q Xie","Data poisoning to fake a nash equilibria for markov games",2024,"… of the AAAI Conference on Artificial …","ojs.aaai.org","https://ojs.aaai.org/index.php/AAAI/article/view/29529","https://scholar.google.com/scholar?cites=9256929161782004433&as_sdt=2005&sciodt=2007&hl=en",186,"2026-01-28 13:54:56","","","",,,,,,9,4.50,2,4,2,"… Our contributions include a unified framework for offline data poisoning attacks, and in particular, a linear program formulation that efficiently solves the reward poisoning problem for two…","https://ojs.aaai.org/index.php/AAAI/article/download/29529/30879","https://scholar.google.com/scholar?q=related:0Yr4_gY4d4AJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
69,"Z Xiang, DJ Miller, G Kesidis","A benchmark study of backdoor data poisoning defenses for deep neural network classifiers and a novel defense",2019,"2019 IEEE 29th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8918908/","https://scholar.google.com/scholar?cites=250034647153955885&as_sdt=2005&sciodt=2007&hl=en",187,"2026-01-28 13:54:56","","","",,,,,,69,9.86,23,3,7,"… We studied backdoor data poisoning defenses on DNNs. We reviewed existing works and proposed the novel CI defense. A series of benchmark experiments on images were con…","","https://scholar.google.com/scholar?q=related:LdQm1S9NeAMJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
17,"N Patel, P Krishnamurthy, S Garg…","Bait and switch: Online training data poisoning of autonomous driving systems",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2011.04065","https://scholar.google.com/scholar?cites=9378545988626518720&as_sdt=2005&sciodt=2007&hl=en",188,"2026-01-28 13:54:56","","","",,,,,,17,2.83,4,4,6,"We show that by controlling parts of a physical environment in which a pre-trained deep neural network (DNN) is being fine-tuned online, an adversary can launch subtle data poisoning …","https://arxiv.org/pdf/2011.04065","https://scholar.google.com/scholar?q=related:wJK_EeNJJ4IJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
17,"G Chen, K Li, AM Abdelmoniem, L You","Exploring representational similarity analysis to protect federated learning from data poisoning",2024,"Companion Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3589335.3651503","https://scholar.google.com/scholar?cites=849975249269317623&as_sdt=2005&sciodt=2007&hl=en",189,"2026-01-28 13:54:56","","10.1145/3589335.3651503","",,,,,,17,8.50,4,4,2,"… This section summarizes key research related to the defense of data poisoning attacks. In general, current approaches can be categorized into statistics-based and similarity-based: …","https://dl.acm.org/doi/pdf/10.1145/3589335.3651503","https://scholar.google.com/scholar?q=related:91-SYPy3ywsJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
17,"H Liu, G Ditzler","Data poisoning against information-theoretic feature selection",2021,"Information Sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025521005090","https://scholar.google.com/scholar?cites=2536586568363792668&as_sdt=2005&sciodt=2007&hl=en",190,"2026-01-28 13:54:56","","","",,,,,,17,3.40,9,2,5,"… generic FS poisoning algorithm. We also show the transferability of the proposed poisoning method … the efficacy of our proposed poisoning algorithm and the existence of transferability. …","https://www.sciencedirect.com/science/article/am/pii/S0020025521005090","https://scholar.google.com/scholar?q=related:HNlZZQvEMyMJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
10,"J Wu, J Jin, C Wu","Challenges and countermeasures of federated learning data poisoning attack situation prediction",2024,"Mathematics","mdpi.com","https://www.mdpi.com/2227-7390/12/6/901","https://scholar.google.com/scholar?cites=2222524336153461352&as_sdt=2005&sciodt=2007&hl=en",191,"2026-01-28 13:54:56","HTML","","",,,,,,10,5.00,3,3,2,"… This article focuses on the common security risks of data poisoning during the training … , attack types, data poisoning methods, privacy protection technology and data security situational …","https://www.mdpi.com/2227-7390/12/6/901","https://scholar.google.com/scholar?q=related:aIIWuRv-1x4J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
